frequency,word
17,to
14,are
13,the
10,a
10,in
9,is
9,this
8,and
8,society
7,of
5,as
5,people
5,that
4,at
4,for
4,it
4,paid
4,pay
4,perhaps
4,sports
4,than
4,their
3,be
3,but
3,footballers
3,from
3,money
3,not
3,nurses
3,teachers
3,wages
3,we
3,who
2,always
2,an
2,because
2,despite
2,female
2,games
2,gap
2,high
2,important
2,jobs
2,least
2,less
2,lot
2,players
2,products
2,some
2,such
2,these
2,they
2,want
2,while
2,willing
2,would
1,about
1,academic
1,achieved
1,achievement
1,advertisement
1,amount
1,another
1,applying
1,appreciate
1,assume
1,become
1,being
1,believed
1,beneficial
1,between
1,blame
1,buy
1,can
1,candidate
1,cannot
1,contribution
1,countries
1,coverage
1,dad
1,dedication
1,desirable
1,discourage
1,discrepancy
1,easier
1,education
1,envious
1,everyone
1,excel
1,fairly
1,far
1,favourite
1,finland
1,finnish
1,frustrating
1,general
1,get
1,given
1,hard
1,has
1,hear
1,higher
1,honour
1,how
1,however
1,i
1,ideal
1,idealistic
1,increase
1,indeed
1,injustice
1,little
1,live
1,lose
1,lower
1,male
1,many
1,matter
1,may
1,maybe
1,meaning
1,more
1,must
1,my
1,nice
1,no
1,often
1,on
1,opinion
1,or
1,other
1,out
1,part
1,partly
1,personality
1,persons
1,prefer
1,presumably
1,professions
1,punters
1,receive
1,recognition
1,related
1,reputations
1,requirements
1,rewarded
1,ridiculous
1,salaries
1,says
1,seem
1,seemingly
1,shown
1,significantly
1,situation
1,slightly
1,so
1,solution
1,sponsors
1,start
1,state
1,struggling
1,success
1,suited
1,surprising
1,system
1,teach
1,teacher
1,team
1,television
1,there
1,therefore
1,tickets
1,times
1,top
1,totally
1,true
1,uk
1,unfair
1,us
1,vision
1,watch
1,well
1,which
1,with
1,work
1,workers
